Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:07:39,56,163.0500583
Apr 18 2024  6:07:42,57,162.6497225
Apr 18 2024  6:07:45,58,162.2470413
Apr 18 2024  6:07:48,57,162.6104474
Apr 18 2024  6:07:51,57,164.2009524
Apr 18 2024  6:07:54,56,165.1318983
Apr 18 2024  6:07:57,89,172.3985857
Apr 18 2024  6:08:0,57,176.958007
Apr 18 2024  6:08:3,58,165.6220078
Apr 18 2024  6:08:6,59,164.7419696
Apr 18 2024  6:08:9,57,165.2225715
Apr 18 2024  6:08:12,69,163.2269206
Apr 18 2024  6:08:15,66,162.5589691
Apr 18 2024  6:08:18,65,162.9135678
Apr 18 2024  6:08:21,74,162.5399993
Apr 18 2024  6:08:24,58,162.743132
Apr 18 2024  6:08:27,58,163.47232
Apr 18 2024  6:08:30,58,162.5210273
Apr 18 2024  6:08:33,85,166.2909008
Apr 18 2024  6:08:36,57,162.2416112
Apr 18 2024  6:08:39,65,150.6625093
Apr 18 2024  6:08:42,99,161.3663412
Apr 18 2024  6:08:45,57,177.7862556
Apr 18 2024  6:08:48,58,175.9932565
Apr 18 2024  6:08:51,58,177.922478
Apr 18 2024  6:08:54,58,179.5613517
Apr 18 2024  6:08:57,67,173.4443036
Apr 18 2024  6:09:0,61,172.6551874
Apr 18 2024  6:09:3,58,172.3985857
Apr 18 2024  6:09:6,58,173.0209192
Apr 18 2024  6:09:9,69,171.7047435
Apr 18 2024  6:09:12,74,170.6909532
Apr 18 2024  6:09:15,57,170.0082797
Apr 18 2024  6:09:18,57,170.0082797
Apr 18 2024  6:09:21,57,170.3796934
Apr 18 2024  6:09:24,56,161.5464102
Apr 18 2024  6:09:27,66,150.6508137
Apr 18 2024  6:09:30,58,149.4176829
Apr 18 2024  6:09:33,69,148.1594251
Apr 18 2024  6:09:36,69,148.853523
Apr 18 2024  6:09:39,70,149.9562222
Apr 18 2024  6:09:42,97,155.9014777
Apr 18 2024  6:09:45,81,155.1367087
Apr 18 2024  6:09:48,73,155.197745
Apr 18 2024  6:09:51,73,156.3064154
Apr 18 2024  6:09:54,73,156.3064154
Apr 18 2024  6:09:57,73,156.3064154
Apr 18 2024  6:10:0,56,151.0027458
Apr 18 2024  6:10:3,79,147.4680345
Apr 18 2024  6:10:6,57,150.9808652
Apr 18 2024  6:10:9,74,138.6746555
Apr 18 2024  6:10:12,56,112.2584066
Apr 18 2024  6:10:15,74,113.4528032
Apr 18 2024  6:10:18,58,112.7048573
Apr 18 2024  6:10:21,58,112.7048573
Apr 18 2024  6:10:24,58,114.9513396
